Wall time,Step,Value
1693927364.011536,0,4.209307670593262
1693927420.267804,1,0.5618305802345276
1693927477.816196,2,0.47478291392326355
1693927534.113609,3,0.4445544481277466
1693927589.189694,4,0.41538718342781067
1693927645.128777,5,0.3837953209877014
1693927699.020732,6,0.40547722578048706
1693927752.600394,7,0.3976849317550659
1693927808.226611,8,0.38284802436828613
1693927861.495278,9,0.3889598846435547
1693927916.761608,10,0.3649255931377411
1693927998.192889,11,0.4278372526168823
1693928052.310137,12,0.37862998247146606
1693928106.425567,13,0.3946996331214905
1693928160.412981,14,0.38637614250183105
1693928215.15325,15,0.35523656010627747
1693928269.072516,16,0.3669067323207855
1693928324.808354,17,0.3469720780849457
1693928380.009477,18,0.35737547278404236
1693928434.437729,19,0.37661418318748474
1693928490.713636,20,0.3771715462207794
1693928544.625422,21,0.3568243384361267
1693928598.379862,22,0.35753384232521057
1693928653.176824,23,0.336626261472702
1693928708.814344,24,0.32474181056022644
1693928763.96669,25,0.3197290897369385
1693928819.485534,26,0.3177342712879181
1693928873.380619,27,0.3384248912334442
1693928930.443787,28,0.32331618666648865
1693929010.314616,29,0.30744609236717224
1693929065.621802,30,0.30873334407806396
1693929120.152037,31,0.3134317696094513
1693929174.148828,32,0.3181602358818054
1693929227.961932,33,0.3192315995693207
1693929282.706041,34,0.3122653663158417
1693929339.218155,35,0.29741960763931274
1693929396.991745,36,0.29538607597351074
1693929451.704705,37,0.3015053868293762
1693929507.415152,38,0.29770785570144653
1693929561.410823,39,0.2994577884674072
1693929617.715534,40,0.297559916973114
1693929673.083711,41,0.28727659583091736
1693929727.983475,42,0.31006088852882385
1693929781.419377,43,0.30941057205200195
1693929836.617166,44,0.30541959404945374
1693929891.35093,45,0.28790178894996643
1693929945.696058,46,0.2988151013851166
1693929999.840941,47,0.28732573986053467
1693930055.565459,48,0.2786228656768799
1693930110.23731,49,0.28252801299095154
