Wall time,Step,Value
1694258179.888812,0,3.3365910053253174
1694258231.116828,1,0.5137251615524292
1694258281.898289,2,0.41433271765708923
1694258331.917523,3,0.3772146701812744
1694258382.167968,4,0.35775214433670044
1694258433.620383,5,0.31194019317626953
1694258483.220242,6,0.2898189425468445
1694258534.943076,7,0.2668827176094055
1694258587.647849,8,0.26565152406692505
1694258668.485199,9,0.2617413103580475
1694258718.6416,10,0.2536141872406006
1694258770.170307,11,0.22520294785499573
1694258822.743133,12,0.21885129809379578
1694258873.231622,13,0.19780685007572174
1694258924.412713,14,0.18562723696231842
1694258970.979446,15,0.19097353518009186
1694259017.886754,16,0.19310452044010162
1694259071.811156,17,0.17237018048763275
1694259119.723422,18,0.17850227653980255
1694259166.407389,19,0.1930861920118332
1694259216.767727,20,0.17780598998069763
1694259267.860539,21,0.15245386958122253
1694259314.923777,22,0.1684516966342926
1694259361.19107,23,0.17390409111976624
1694259412.30812,24,0.14776115119457245
1694259458.65634,25,0.16824792325496674
1694259507.749384,26,0.14319755136966705
1694259555.236234,27,0.14341862499713898
1694259602.716726,28,0.15576380491256714
1694259649.627543,29,0.17164629697799683
1694259699.791592,30,0.14007709920406342
1694259746.853131,31,0.14192433655261993
1694259792.283261,32,0.14507001638412476
1694259838.435796,33,0.18414068222045898
1694259885.787086,34,0.16697585582733154
1694259936.162768,35,0.130819633603096
1694259984.517504,36,0.10948272049427032
1694260031.46683,37,0.1136733740568161
1694260078.00993,38,0.17888832092285156
1694260124.757952,39,0.13641002774238586
1694260171.123424,40,0.11967010051012039
1694260217.680378,41,0.11272167414426804
1694260263.394994,42,0.12378694862127304
1694260315.360431,43,0.10394106060266495
1694260362.031645,44,0.10446158796548843
1694260407.841381,45,0.10441464185714722
1694260453.695102,46,0.11742337793111801
1694260500.809146,47,0.10615260899066925
1694260550.044332,48,0.10043144226074219
1694260596.362654,49,0.1262277066707611
